site,lat,lon
Berat ,40.7022,19.9583
Delvine ,39.95,20.1
Devoll,40.6211,20.988
Diber,41.691,20.4628
Gjirokaster ,40.067,20.133
Gramsh ,40.8667,20.1833
Has,41.4889,19.7142
Kavaje,41.185,19.5567
Kolonje,40.298,20.4966
Korce,40.6181,20.7808
Kruje,41.5096,19.7925
Kukes,42.0769,20.4164
Kurbin,41.648,19.6908
Lezhe,41.787,19.6437
Librazhd,41.1917,20.3179
Lushnje,40.9369,19.7047
Malesi Madhe,42.3156,19.8879
Mat,41.5808,19.9136
Mirdite,41.7792,19.7001
Permet,40.2372,20.3514
Pogradec,40.9011,20.6639
Puke,42.0447,20.4012
Sarande,39.875,20.0056
Shkoder,42.0683,19.5126
Skrapar,40.5992,20.227
Tepelene,40.2953,20.0233
Tirane,41.3275,19.8187
Tropoje,42.4325,20.3975
Vlore,40.4651,19.4895
